importedUrlDomain,sites,requests
googleapis.com,1.691.814,3.086.742
typekit.net,295.895,382.413
fontawesome.com,72.448,92.752
jimstatic.com,36.302,79.313
bootstrapcdn.com,35.179,39.330
cloudflare.com,30.208,42.661
jsdelivr.net,23.547,30.588
mailerlite.com,16.552,18.934
cloudfront.net,14.639,33.356
fonts.net,14.621,18.316
daumcdn.net,14.522,16.591
yotpo.com,11.595,11.669
v15cdn.com,9.448,19.088
bunny.net,7.918,8.431
cdnfonts.com,7.644,10.752
extra-cdn.com,7.242,7.262
imweb.me,6.819,12.547
editmysite.com,6.547,16.741
menudino.com,4.924,5.214
jotfor.ms,4.921,7.870
amazonaws.com,4.254,14.167
unpkg.com,3.992,4.900
rawgit.com,3.596,4.947
jimcdn.com,3.505,4.561
example.com,3.299,6.352
tlintegration.ru,3.004,4.019
ticimax.cloud,2.531,5.303
github.io,2.346,3.585
ionicframework.com,2.236,2.363
meb.k12.tr,2.203,2.203
zohocdn.com,2.189,2.202
rsms.me,2.066,2.286
edlioschool.com,1.972,2.360
sante.pro,1.773,1.773
qualtrics.com,1.728,1.728
blog.hu,1.714,3.427
drivecentric.com,1.592,1.611
mmcdn.com,1.547,4.643
azureedge.net,1.486,3.516
arcgis.com,1.483,2.674
bohemiasoft.com,1.479,1.480
st-hatena.com,1.474,1.492
verwaltungsportal.de,1.413,1.811
weebly.com,1.327,1.402
ekmsecure.com,1.310,1.310
typepad.com,1.260,9.134
raku-uru.jp,1.218,1.237
shopify.com,1.140,3.107
meb.gov.tr,1.125,2.295
saglik.gov.tr,1.118,9.351
spazioweb.it,1.030,1.037
webtech.com.tw,984,2.950
municipalonlinepayments.com,966,966
weloveiconfonts.com,964,1.067
onlinewebfonts.com,963,1.271
egorealestate.com,959,2.875
chiens-de-france.com,845,943
dirs21.de,808,823
leadoo.com,802,1.358
maateen.me,771,853
myfonts.net,771,913
reviewmgr.com,766,1.892
tenping.kr,738,790
praktijkinfo.nl,723,2.505
local-marketing-reports.com,717,3.315
clientify.net,707,830
sakura.ne.jp,698,2.287
sixshop.com,694,13.365
imbox.io,691,722
anyline.co.kr,689,2.510
dcourts.gov.in,679,679
dealereprocess.org,679,773
ekb.eg,658,1.225
newscanshared.com,653,2.736
boostkit.dev,637,10.791
wpenginepowered.com,618,1.285
spoton.com,615,19.680
site-builder.jp,603,604
mercedes-benz.com,597,2.962
donorbox.org,589,589
marsflag.com,576,768
linearicons.com,572,599
churchdesk.com,555,555
ticket.io,552,554
blackboardcdn.com,544,1.632
gem2go.page,540,647
sharpschool.com,539,1.076
hulkapps.com,539,1.078
ufsc.br,524,535
hopenapi.com,522,809
edusite.ru,521,1.645
icons8.com,505,669
eadplataforma.app,500,9.000
igetweb.com,498,3.130
google.com,492,596
b-cdn.net,487,1.703
bigcommerce.com,485,572
popify.app,478,479
portal.gov.bd,476,481
grainajz.com,474,1.441
chayns-static.space,469,1.142
dejobs.org,452,452
wp.com,447,674
rakuten.co.jp,439,468
typography.com,431,659
gstatic.com,431,441
sportngin.com,429,2.120
e-lyco.fr,427,2.135
myregisteredsite.com,418,958
fonts.com,417,450
easy-myshop.jp,410,1.804
skoda-auto.de,401,401
sidearmsports.com,401,857
azurewebsites.net,388,4.381
irins.org,382,1.910
bibliocommons.com,380,814
qzin.jp,377,385
icomoon.io,373,659
zlcdn.com,370,372
praca.gov.pl,354,2.829
myfontastic.com,354,360
flaticon.com,352,1.167
jcyl.es,349,350
hamazo.tv,340,1.363
strato-editor.com,340,3.740
iconscout.com,339,360
archive.org,330,636
actionnetwork.org,326,332
bitrix24.site,325,650
upsale.app,319,375
memfirstweb.net,319,319
bitfan.id,318,1.592
u-komi.com,317,1.268
darwinbox.in,309,618
sirsi.net,307,720
jquery.com,306,506
opd-dws.de,306,1.224
socastcms.com,303,940
oneallcdn.com,302,314
Googleapis.com,300,308
weatherlink.com,300,300
spb.ru,298,892
secureserver.net,294,687
usercontent.one,290,722
fandom.com,288,844
getpodpage.com,287,288
cdn-tinkoff.ru,286,286
vareminnesider.no,281,281
cineca.it,280,3.493
kross.travel,278,278
readthedocs.io,276,318
dvinci-easy.com,274,861
nitrocdn.com,272,443
websitepro-cdn.com,267,290
hotel.cz,265,265
membershiptoolkit.com,263,267
sch.gr,262,427
tn.edu.tw,261,4.481
kekastatic.net,260,260
datatables.net,257,312
n-va.be,254,508
snapfit.co.kr,254,311
home.pl,252,265
unito.it,252,1.050
ehc.com,251,1.018
windows.net,250,668
hotelsystems.pl,248,853
quotemedia.com,243,243
smartonlineorder.com,243,996
memberclicks.net,242,2.438
promportal.su,239,939
pressablecdn.com,239,492
virtuagym.com,236,472
rtsp.me,235,255
nubex.ru,235,444
princeton.edu,235,691
coreware.com,235,592
renault.cz,235,470
my-groom-service.com,233,1.694
fotop.com.br,232,468
ticimax.com,232,250
worldsoft-cms.info,230,242
pipdigz.co.uk,230,232
lp9.ru,229,229
emb-japan.go.jp,224,1.571
hubspotusercontent-na1.net,224,417
gastrogate.com,223,448
forumstatic.ru,223,518
classforkids.io,221,221
seekda.com,219,247
ko-fi.com,218,220
showcasegalleries.io,217,221
mobiliagestion.es,216,237
shop-pro.jp,213,715
fontshare.com,212,259
betterplace.org,208,208
network.hu,207,1.449
tyc.edu.tw,206,3.602
symplicity.com,204,205
flog.pl,204,610
spaceks.net,201,603
hubspot.net,200,371
andteacher.jp,199,796
sapo.pt,198,203
tableau.com,197,591
webfonts.ru,195,334
smoothcontact.jp,195,8.970
fc2.com,194,437
q4cdn.com,193,243
site-media.eu,192,402
mamap.co.kr,191,627
hse.ru,191,859
eschoolsolutions.com,190,3.040
raxcdn.com,189,580
ifdo.co.kr,188,188
autogari.ro,188,376
securewebbookings.com,184,368
gianhangvn.com,183,912
hypnoweb.net,180,1.793
web4business.de,179,266
networkforgood.com,179,358
bdtickets.com,178,1.068
mlcdn.com,178,205
recras.nl,177,708
tatarstan.ru,177,1.312
jumpseller.com,176,479
fupa.net,176,362
mapbox.com,173,307
ucsd.edu,173,232
makeshop.jp,173,793
osu.edu,172,218
dwcdn.net,171,514
solutiocdn.com,171,171
font.im,171,184
ffcam.fr,170,1.435
allfont.ru,169,227
dvipcdn.com,168,168
kalisport.com,168,336
infobip.com,168,169
uni-stuttgart.de,166,662
open-system.fr,166,551
hoststar.ch,165,167
clarip.com,163,228
chirurgiens-dentistes.fr,163,3.100
bindsite.jp,163,995
yonsei.ac.kr,162,667
e-podroznik.pl,161,349
itembox.design,160,718
wdfiles.com,159,755
lausd.org,158,158
cafe24.com,157,348
tarad.com,156,4.931
gov.hu,153,314
alicdn.com,153,286
myguru.ru,152,304
saitama-city.ed.jp,152,1.414
fontlibrary.org,152,185
cap.ru,152,520
wikidot.com,151,270
web-view.net,150,181
blog4ever.com,150,150
speakcdn.com,149,347
sm360.ca,149,155
uk.com,148,356
storenvy.com,148,148
ti-da.net,147,586
kxcdn.com,147,312
bohemiasoft.cz,145,145
unam.mx,144,457
hida-ch.com,142,568
matchpoint.com.es,142,142
taichung.gov.tw,141,2.648
governmentwindow.com,139,139
meinungsmeister.de,139,141
greensoft.mn,138,1.426
learnyst.com,138,463
loobig.co.kr,138,138
thanhhoa.gov.vn,137,1.339
cdn.es.gov.br,137,137
allmarketing.com.tw,137,274
housedo.com,137,137
kirche-bamberg.de,136,2.976
telangana.gov.in,136,1.919
wsu.edu,136,142
gouv.qc.ca,133,564
orderport.net,133,143
doklist.com,133,133
firat.edu.tr,132,150
sprocketsports.com,132,659
cyc.edu.tw,131,2.447
sigacrm.com.br,130,1.135
justiz-bw.de,130,910
hondadealers.com,130,130
sakarya.edu.tr,129,512
brightcove.com,129,146
nextchapter-ecommerce.com,129,211
jotform.com,129,304
tlintegration.com,129,175
paykeeper.ru,128,128
gemeinsam-trauern.net,128,132
leadconnectorhq.com,128,128
onskeskyen.dk,128,128
ivalue.jp,127,254
chambermaster.com,127,508
spotapps.co,127,130
blogabet.com,127,381
esic.gov.in,127,715
abicart.com,126,144
mg.leg.br,125,1.070
com.ru,125,337
oenskeinspiration.dk,124,124
uq.edu.au,124,130
univalle.edu.co,124,147
smp-it-media.de,124,608
ufu.br,124,343
jogjakota.go.id,123,488
modix.de,123,149
servefilesonly.com,123,123
vtex.com.br,123,123
archtoronto.org,122,122
fortraders.org,121,714
korea.ac.kr,121,309
dubuplus.com,121,356
book-onlinenow.net,121,121
profitroom.com,121,121
clubexpress.com,121,1.103
pcdn.co,120,173
aspendiscovery.org,120,600
visca-demo.work,120,268
icehs.kr,120,900
ipn.mx,119,142
pusan.ac.kr,117,1.727
krakow.pl,117,214
easy-rez.com,116,324
cdnjs1.com,116,232
mektebi.kz,116,116
getabetterbrowser.com,115,232
niceboard.co,115,115
maptons.com,114,342
ows-cdn.com,114,1.710
gonationsites.com,114,1.572
url.tw,113,191
cvcrm.com.br,113,339
rchuv.ru,113,890
honlap.hu,113,334
altervista.org,113,367
estateweb.com,112,267
sharepointonline.com,112,112
arizona.edu,112,201
ll-send.com,112,112
tylertech.com,111,116
rmissecure.com,111,111
powerschool.com,111,1.269
superszkolna.pl,111,446
familynet.or.kr,110,441
neoncrm.com,110,1.155
exactdn.com,109,360
dnepredu.com,109,1.417
diyanet.gov.tr,109,1.685
ovgu.de,109,3.576
ufba.br,108,1.618
neemo.com.br,108,749
rfu.club,107,107
futbolowo.pl,107,214
eviivo.media,107,107
uitm.edu.my,106,506
skku.edu,106,739
scholantisschools.com,106,112
topdesk.net,106,212
lovatel.com.br,106,106
cefetmg.br,106,410
allfont.net,105,132
cliniko.com,105,105
phenompeople.com,105,187
locable.com,105,112
ntpc.gov.tw,105,1.332
achieveservice.com,105,315
cnc-interceptor.com,104,104
viteunsite.com,104,205
nkpmedical.com,104,200
globres.io,104,538
optimale-praesentation.de,104,526
